168771
Q18880995,Q1054,Q225056
Q2989168,Q18554850
Q920929,Q232191
Q2304946,Q1955280
Q18966823,Q12136,Q19001344
Q658654,Q161973
Q21174355,Q21167512
Q122207,Q7889
Q21528976,Q132911
Q7378804,Q635309
Q16964023,Q172937
Q3292757,Q41415
Q380012,Q575882
Q15051080,Q207700,Q396067
Q7389893,Q11436
Q416890,Q8054
Q2368577,Q13357858
Q3370184,Q1294259
Q27055619,Q13357858
Q829080,Q167037
Q2558038,Q13357858
Q12383338,Q9644
Q1934847,Q191012
Q26691647,Q5663900
Q26693612,Q5663900
Q26698451,Q5663900
Q1192063,Q1387659,Q13414953
Q2755101,Q4990531
Q6593863,Q121998
Q768271,Q781650
Q303392,Q1156728,Q811430
Q3042856,Q9190427
Q1500858,Q376
Q7889393,Q15726790
Q391394,Q167170
Q36979,Q390979
Q7653196,Q2388316
Q2296331,Q179057
Q7252827,Q11436
Q416417,Q394129
Q23564410,Q484876
Q1726215,Q16829513
Q799527,Q13357858
Q277768,Q15361145
Q5054333,Q204179,Q5433715,Q13099336
Q2612572,Q16521
Q1885385,Q3777703
Q3404659,Q187300
Q1349915,Q13357858
Q1184072,Q7631079
Q27607102,Q13357858
Q3497150,Q19842071
Q27339977,Q13357858
Q422553,Q127920
Q7201533,Q780687
Q3024306,Q3504637
Q2616539,Q1046763
Q3948501,Q1125341
Q633730,Q161944
Q2130044,Q174520,Q34687
Q1077784,Q7397
Q27340491,Q13357858
Q430295,Q26887428
Q597087,Q1125341
Q26698044,Q5663900
Q2571508,Q686876
Q27798994,Q13357858
Q13476002,Q13357858
Q27183921,Q27163537
Q382265,Q83267
Q26884324,Q13406463,Q1531349
Q12554725,Q11173
Q32858,Q33328
Q133485,Q15995642
Q4742021,Q746549
Q27057002,Q27057010
Q238337,Q2389789
Q3196320,Q33146
Q17000320,Q33506
Q8046440,Q14085739
Q180664,Q18553852
Q19827951,Q428759
Q18666256,Q1407527
Q27677746,Q749409
Q3777666,Q764802
Q15634978,Q6437
Q21848495,Q1915955
Q10858115,Q1422423
Q5421007,Q508295
Q26697143,Q5663900
Q18558229,Q5898315
Q7284712,Q11436
Q398900,Q34486
Q14645936,Q185148,Q868257
Q2958176,Q319622
Q2111165,Q24354
Q1024410,Q1024412,Q177471
Q18711753,Q17014622
Q7251017,Q36633
Q649043,Q152088
Q26698403,Q5663900
Q616829,Q93301
Q26271727,Q264965
Q2482282,Q472211,Q716
Q26691780,Q5663900
Q4393280,Q15904122
Q22276226,Q1076105
Q537460,Q11427
Q19833364,Q416949
Q7847153,Q1128619
Q3641581,Q927407
Q26690503,Q5663900
Q1738742,Q34627
Q1825472,Q158218
Q19862110,Q3092395
Q27669879,Q13357858
Q336667,Q144334
Q11798474,Q914752
Q5203274,Q743004
Q1086783,Q2537
Q13219587,Q2066131,Q9394993
Q18554873,Q203601
Q7316896,Q13442814
Q949715,Q28877
Q26694340,Q5663900
Q2489868,Q1124312
Q1513999,Q13357858
Q6956258,Q785745
Q2003221,Q177634,Q193622,Q618779
Q27570030,Q13357858
Q27799585,Q13357858
Q3238324,Q5003624
Q17364059,Q5531866
Q1138691,Q1273568
Q6313902,Q743004
Q18211365,Q17422
Q1085001,Q280336
Q617701,Q34486
Q15921898,Q15921881
Q27164471,Q3281254
Q1439650,Q618779
Q4882577,Q3270632
Q6314976,Q11436
Q12330003,Q10498031
Q864737,Q131569
Q3256540,Q848532
Q846299,Q11472
Q5248648,Q235557
Q18882683,Q1857,Q618200
Q1063772,Q3270632
Q27607774,Q13357858
Q5572744,Q8054
Q3042146,Q1632552
Q220898,Q844580,Q1107
Q7565612,Q93301
Q6956247,Q93301
Q154425,Q34583
Q309027,Q193470,Q743004
Q1663615,Q2114846
Q12952530,Q6202716
Q22019586,Q13357858
Q2102204,Q13357858
Q2869321,Q15636234
Q11764695,Q213777
Q1626942,Q13357858
Q18844420,Q663,Q784823
Q373899,Q12139612
Q6682265,Q1414135
Q21174889,Q21167512
Q17021287,Q26836193
Q26696787,Q5663900
Q1961493,Q543654
Q1747389,Q3147703
Q4736579,Q95074
Q7056136,Q653415
Q1425455,Q19805050
Q908562,Q1327500,Q163829
Q6679569,Q914752
Q327353,Q1709010
Q1422653,Q1156831
Q20791488,Q1501800
Q31918,Q1344
Q257717,Q126701
Q829281,Q68
Q18772252,Q4220917
Q13487374,Q13357858
Q219577,Q4830453
Q12076907,Q21674689
Q3516591,Q1423152
Q6573152,Q121998
Q627625,Q18553244
Q1209744,Q18554220
Q3144528,Q267759
Q19001233,Q12136,Q2072712,Q145790
Q297145,Q47574
Q3381902,Q11436
Q1368912,Q11042
Q744432,Q625151
Q7107766,Q2095
Q785411,Q421829,Q39546
Q653368,Q600751
Q20055904,Q20650761
Q18882459,Q1849,Q618198
Q102532,Q8183,Q202064
Q81875,Q7239
Q27669869,Q13357858
Q17073877,Q11436
Q13221624,Q10943,Q3323634
Q661627,Q13357858
Q7315176,Q15911314
Q14623181,Q33146
Q26344166,Q10864048,Q19953632
Q779250,Q378183
Q27798378,Q13357858
Q22337989,Q739882,Q3389302
Q7567895,Q785745
Q2294462,Q13357858
Q18845563,Q1105,Q2393673
Q709616,Q294414
Q8079916,Q34379
Q26694224,Q5663900
Q308567,Q187510
Q3406441,Q180323
Q470540,Q467970
Q3777653,Q4796437
Q999025,Q13357858
Q167903,Q4574554,Q1190554
Q640097,Q1515757
Q903965,Q37756
Q304906,Q2465311
Q26995166,Q13357858
Q679817,Q1758037
Q7669646,Q93301
Q6616710,Q121998
Q425227,Q79529
Q12637954,Q358
Q20602707,Q2186582
Q12076943,Q21674689
Q2964434,Q13566985
Q18069441,Q128234
Q1124761,Q477248
Q472953,Q15636229
Q18558031,Q18211693
Q1304163,Q2106340
Q24258379,Q385378
Q1254216,Q5762366
Q5137394,Q93301
Q1776724,Q2462658
Q7081432,Q2723400
Q27826208,Q139677
Q27043387,Q27043390
Q741027,Q122224
Q1968642,Q14914657
Q3214312,Q18013783
Q417648,Q3777808
Q2974552,Q252708,Q1093829,Q6664400
Q18554899,Q18555918
Q13506474,Q13357858
Q2035351,Q728502
Q19829494,Q1041682
Q27062021,Q1162163
Q18559268,Q130681
Q17372516,Q17372514
Q2540641,Q13357858
Q2000908,Q9160937
Q893802,Q358
Q27537578,Q13357858
Q2737061,Q37732
Q17077465,Q11436
Q1129103,Q49830
Q408311,Q8047
Q1032279,Q13357858
Q3833026,Q839546
Q26692308,Q5663900
Q18557112,Q18556700
Q5136732,Q208443
Q27537734,Q13357858
Q1075561,Q124072
Q21026838,Q126017
Q5986114,Q1051772
Q6665561,Q11436
Q18556202,Q18554556
Q1513972,Q13357858
Q21174166,Q21167512
Q26698576,Q5663900
Q11602363,Q324233
Q2457049,Q423488
Q4392101,Q17422
Q748442,Q1642147
Q4688336,Q11436
Q19853383,Q486839
Q1423125,Q20035774,Q1420
Q26694767,Q5663900
Q3554382,Q19358748
Q15635761,Q207694
Q574531,Q163373
Q5985365,Q23392
Q247617,Q178885,Q22988604
Q205555,Q160402
Q2144513,Q5294
Q474095,Q181593
Q34131,Q752377
Q18554284,Q377978
Q27677809,Q847057
Q2993760,Q43229
Q3976636,Q15916867
Q17605362,Q2186582
Q7918460,Q22706
Q27653145,Q21014462
Q7925314,Q11436
Q6713481,Q462407
Q18554794,Q18554296
Q27669381,Q13357858
Q1302202,Q418
Q27255891,Q13357858
Q14905807,Q831282
Q21014450,Q11830545
Q7630629,Q15044747
Q1223811,Q27044265
Q21500178,Q2413314
Q178794,Q376,Q362200
Q5350631,Q34379
Q1893740,Q11472
Q18555167,Q18553680
Q3042878,Q80151
Q623024,Q79529
Q11706688,Q105674
Q213918,Q15916867
Q170790,Q901
Q3961328,Q2624432
Q2520544,Q42178
Q7634941,Q1408148
Q26698895,Q5663900
Q56684,Q153795
Q4794420,Q170013
Q6402867,Q19860
Q17113329,Q5322
Q6934560,Q8054
Q5206131,Q20650761
Q5185614,Q26929442,Q233762
Q627537,Q2875704
Q18845209,Q722,Q477795
Q5519906,Q44455
Q799353,Q13357858
Q1809317,Q152
Q2496164,Q15544757
Q18967741,Q12136
Q962303,Q273854
Q16987453,Q20650761
Q3810957,Q15727337
Q6565743,Q121998
Q1875447,Q189156
Q697133,Q23622
Q4274645,Q17171698
Q6814233,Q1646605
Q382264,Q336195
Q2975986,Q2811
Q3862242,Q1125341
Q5268277,Q11436
Q7095719,Q18127
Q15131331,Q3744452
Q805762,Q13357858
Q26695520,Q5663900
Q18845946,Q1896,Q465498
Q7447500,Q49228
Q6561228,Q121998
Q3848153,Q18013979
Q5513688,Q5513691
Q1786873,Q24294815
Q1076053,Q18968230
Q21660334,Q2116008
Q16191529,Q2529166
Q564606,Q16295132
Q23037765,Q23037762,Q23037762
Q2421902,Q10927834
Q12998650,Q577
Q2313379,Q2327095
Q1041988,Q43006
Q19833499,Q927407
Q27521910,Q13357858
Q3890147,Q2816686,Q27430458
Q3111735,Q2223649,Q3774485
Q33669,Q2478413
Q16331495,Q16737364
Q4418079,Q617332,Q559618,Q3275581
Q654822,Q35127
Q11985133,Q11985097,Q105368
Q207522,Q11348
Q1327798,Q513984
Q2120753,Q2266066
Q4792455,Q431289,Q179731,Q35855,Q910284,Q309035
Q1414374,Q625151
Q7388753,Q390383
Q5133821,Q43229
Q3554377,Q19358748
Q1503072,Q640506
Q4022771,Q723127
Q5175885,Q272002
Q15131311,Q14946350
Q5512913,Q93301
Q26691758,Q5663900
Q27669177,Q13357858
Q7929459,Q18325242
Q2369993,Q178359
Q1382893,Q15055414,Q34876
Q3940016,Q3777625
Q2783615,Q7888495
Q7835822,Q477415,Q1064904
Q720711,Q12800
Q1248524,Q473236
Q2002810,Q15296811
Q5924450,Q2095
Q18562927,Q170451
Q5566166,Q35666
Q210427,Q576349
Q16245233,Q2095
Q460937,Q861028
Q7169165,Q18971517
Q994169,Q2095
Q614467,Q39546,Q26972858
Q12061411,Q743004
Q422926,Q79529
Q748594,Q1724341
Q587142,Q1084,Q151885
Q3731623,Q17315191
Q6871861,Q11053
Q277069,Q167170
Q26844508,Q13357858
Q1009287,Q625994
Q27607506,Q13357858
Q1389392,Q214609
Q3517351,Q618779
Q18249544,Q18113378
Q6871680,Q11053
Q18632459,Q486972
Q12481732,Q1578
Q4993677,Q17299750
Q19787187,Q11436
Q1624982,Q121998
Q26691042,Q5663900
Q13511936,Q13357858
Q2380743,Q32385,Q674
Q18881680,Q1108,Q24638
Q21697574,Q21697554
Q1709184,Q212920
Q3449070,Q3070307
Q16682748,Q11173
Q2449873,Q1420
Q9001409,Q103076
Q18882878,Q743,Q549775
Q26698799,Q5663900
Q12478107,Q19842071
Q27569982,Q13357858
Q8079915,Q34379
Q3516575,Q2640863
Q7429686,Q2750336,Q102742
Q1160121,Q36534
Q26698932,Q5663900
Q18713224,Q13357858
Q229924,Q24153252
Q3441712,Q2912397
Q2426712,Q654437
Q1092712,Q131419
Q1142297,Q4914995
Q2540976,Q14970
Q429768,Q82658
Q18975432,Q12136
Q5158531,Q21198548
Q27521645,Q13357858
Q1361980,Q104843
Q15890671,Q13357858
Q19765925,Q1665961
Q1137272,Q717478
Q20687673,Q41207
Q27347921,Q13357858
Q4018503,Q3777763
Q10938032,Q39546
Q826898,Q309027
Q26707996,Q47574
Q23009426,Q11028
Q3501553,Q33248
Q203618,Q24153252
Q7257826,Q1197685
Q60864,Q181593
Q3241177,Q4179137
Q3613055,Q3777706
Q1862498,Q123705
Q27607273,Q13357858
Q13475994,Q13357858
Q18130868,Q1057101
Q537841,Q1125341
Q3792582,Q174736
Q381232,Q381208,Q208187,Q3041792
Q2631454,Q13357858
Q131777,Q3777569,Q177342
Q21097871,Q21503282
Q5030372,Q2306612
Q27674845,Q1678281
Q5459775,Q11436
Q1906268,Q10374501,Q171308,Q11618279
Q47051,Q170065,Q8054
Q6731168,Q185351
Q3983406,Q128234
Q26700881,Q5663900
Q3959687,Q1073138
Q299439,Q13219666
Q20980372,Q7366
Q1640530,Q30185
Q1032151,Q13357858
Q2916159,Q152834
Q3859484,Q3777554
Q22938576,Q319676
Q799423,Q13357858
Q20872376,Q1109105
Q19833541,Q927407
Q2384604,Q11446
Q923572,Q1729195
Q4017805,Q3447203
Q1432487,Q200433
Q2436130,Q174736
Q837800,Q1248784
Q15829720,Q121998
Q13587386,Q898419
Q1619458,Q13221579
Q18881431,Q1096,Q687521
Q523152,Q3142,Q1075
Q799392,Q13357858
Q299795,Q26863790
Q18888324,Q979,Q1828459
Q18553923,Q987319,Q18555068
Q3665249,Q1125341
Q868009,Q235356
Q24701438,Q24702381
Q25930060,Q20654
Q26694552,Q5663900
Q4713857,Q8054
Q27626091,Q13357858
Q373665,Q244783
Q18554372,Q18555949
Q5313935,Q36224
Q2854435,Q872
Q17334379,Q1939559,Q486839
Q27826077,Q139677
Q1634473,Q2462658
Q13440683,Q13357858
Q3650471,Q4796437
Q26698746,Q5663900
Q3186859,Q11032
Q26691662,Q5663900
Q4652377,Q11053
Q2496586,Q19623198,Q1527901
Q416730,Q79529
Q585560,Q3777534
Q18888541,Q1133,Q2334543
Q14420274,Q204179,Q5433715,Q5192262
Q10864029,Q55488
Q3056541,Q4914883,Q4184
Q1149410,Q13357858
Q2222730,Q11446
Q14564657,Q13357858
Q1332196,Q834028
Q36428,Q33146
Q49844,Q13397636
Q5535216,Q2939
Q1885489,Q15298259
Q337567,Q863944
Q816432,Q2462658
Q6068121,Q3243677
Q3083019,Q10943,Q3774485
Q10686022,Q121998
Q1998171,Q13357858
Q814610,Q43229
Q1034620,Q578994
Q56558,Q7082043
Q18809529,Q2414609
Q26699115,Q5663900
Q26693041,Q5663900
Q14915225,Q14212
Q7889265,Q15726790
Q18755439,Q35872
Q26698041,Q5663900
Q16308157,Q17135920
Q18617035,Q430
Q3005429,Q20646668
Q332791,Q339011,Q3064361
Q26132349,Q13357858
Q1894772,Q1370517,Q12277
Q27608292,Q13357858
Q27053293,Q13357858
Q614130,Q901
Q19000861,Q12136
Q217935,Q216916,Q1088655
Q15890562,Q15888160
Q18882787,Q1123,Q2500708
Q18556194,Q18556865
Q5756785,Q1888937
Q18556022,Q18556013
Q27608463,Q13357858
Q19287507,Q2738499
Q11158,Q11173
Q858810,Q42848
Q26695155,Q5663900
Q9248092,Q9392615
Q573469,Q216916
Q26693711,Q5663900
Q203857,Q646
Q429902,Q182264
Q2288051,Q625994,Q2495862
Q21174096,Q21167512
Q3542235,Q54050
Q15699255,Q51739
Q3397346,Q390979
Q1098876,Q101965
Q3457057,Q1391494
Q380942,Q3777568
Q2371030,Q13219666
Q909412,Q190109
Q27608509,Q13357858
Q6516835,Q1066224
Q3992553,Q17315191
Q3898550,Q17315191
Q1055894,Q486839
Q3083194,Q2470685
Q10331165,Q3859459
Q36560,Q36528
Q26691602,Q5663900
Q7543046,Q18015938
Q1863835,Q751989
Q2973283,Q13360264
Q1954258,Q41207,Q47433
Q4120484,Q34396
Q799887,Q11446
Q16976369,Q11436
Q4925730,Q15061650
Q3457681,Q13218212
Q20035742,Q11436,Q1229765
Q3398323,Q3070307
Q7543242,Q11053
Q26690629,Q5663900
Q25907543,Q483373
Q19860902,Q927407
Q26691682,Q5663900
Q191944,Q7881
Q2631439,Q15061650
Q4929038,Q12802,Q1137468
Q5133584,Q1724625
Q18391426,Q11436
Q1480871,Q1651051
Q11328602,Q648123
Q1414805,Q12136
Q26695582,Q5663900
Q7108083,Q4818021
Q1360597,Q14510027
Q7235348,Q11436
Q27799036,Q13357858
Q5378247,Q11436
Q26694165,Q5663900
Q16857808,Q11474
Q166530,Q11465
Q26690305,Q5663900
Q22693,Q3777605
Q350945,Q1670804
Q27430192,Q79529
Q18019703,Q648864
Q1410752,Q185638,Q2022456
Q1019982,Q2824645
Q1323937,Q18491037,Q15062149
Q19829914,Q18616576
Q690838,Q15636274
Q16970318,Q11436
Q9002870,Q8054
Q7321974,Q1411945
Q23901423,Q23636313
Q863989,Q37555
Q17072780,Q11436
Q3836182,Q171043
Q22276331,Q1076105
Q19670001,Q1349015
Q27626254,Q13357858
Q4907486,Q146878,Q51593,Q427013
Q27799100,Q13357858
Q16025345,Q128
Q3368837,Q37351
Q2741628,Q8134
Q6457260,Q785745
Q1679981,Q4539
Q6389615,Q11436
Q27826123,Q139677
Q1643563,Q12140
Q27669441,Q13357858
Q17442766,Q4830453
Q18883019,Q877,Q19529
Q900964,Q24294815,Q1640765
Q1428165,Q216916
Q1300950,Q13357858
Q3542021,Q18555254
Q18882480,Q1853,Q618193
Q547137,Q37073,Q727781
Q14875868,Q10429090
Q2984210,Q23442,Q555911
Q20821829,Q15720871
Q203788,Q1184840,Q1112950
Q18556963,Q1827425
Q17583432,Q748389
Q21834496,Q737498,Q627517
Q16250593,Q7749
Q6141658,Q27914
Q21866828,Q13357858
Q3826949,Q1073138
Q4223099,Q7163
Q27669430,Q13357858
Q17018982,Q27415911
Q26700938,Q5663900
Q26691789,Q5663900
Q19730508,Q15284,Q19953632
Q4752538,Q632078,Q23757
Q1271048,Q13357858
Q3412210,Q3508373
Q245679,Q768575
Q16024146,Q485321
Q2813,Q134041
Q2845208,Q485396
Q27626403,Q13357858
Q5255998,Q37732
Q867459,Q1077333
Q841904,Q17763739
Q837528,Q176452
Q1250588,Q14978
Q186157,Q2626534,Q102047,Q1773882
Q18221760,Q630531
Q12882844,Q12882818
Q17076131,Q11436
Q14941040,Q2579391
Q914174,Q740752
Q19146990,Q1349015
Q9062344,Q618779
Q471102,Q100047
Q12121341,Q56061
Q377199,Q216916
Q3748339,Q5386,Q13406554
Q2373143,Q13357858
Q13221953,Q26863790
Q24004130,Q12097
Q26697059,Q5663900
Q202746,Q13567909
Q3613276,Q1125341
Q425546,Q4796437,Q3777815
Q507462,Q1321639
Q27607131,Q13357858
Q13410464,Q47168
Q969190,Q20650761
Q111352,Q5371079
Q4200700,Q17089282
Q3435941,Q15916867
Q130760,Q63973,Q44167
Q2919821,Q22059430
Q1392704,Q7366
Q10905949,Q4220917
Q23775574,Q1327701,Q58964
Q184357,Q14712,Q3320037
Q4990557,Q549744,Q1388
Q1160650,Q165950
Q19147223,Q1349015
Q22955669,Q11379
Q1799543,Q1817077,Q474828
Q7120463,Q20650761
Q2819040,Q11436
Q16063001,Q2624432
Q6179966,Q1420
Q1937663,Q131647
Q13511791,Q13357858
Q6871813,Q11053
Q3211239,Q170013
Q1806907,Q253140,Q282
Q26699028,Q5663900
Q33090,Q51739
Q18558133,Q1209744
Q3716911,Q3777596
Q7264577,Q477248
Q191448,Q1188693,Q718
Q4121132,Q11436
Q16170791,Q5358201
Q26698977,Q5663900
Q4263830,Q5489026,Q8242
Q22978,Q697175
Q6605673,Q121998
Q27570612,Q13357858
Q923408,Q1407225
Q1507235,Q34486
Q8386,Q79529
Q26697415,Q5663900
Q27251409,Q13357858
Q1422521,Q34486
Q2500074,Q3579211
Q657808,Q182933,Q5300
Q1999843,Q131132
Q1207351,Q1196645
Q2033632,Q161705
Q18966491,Q12136,Q18555243
Q34095,Q37756,Q518350
Q1566385,Q5984607
Q18012312,Q18012286
Q12712991,Q910919
Q5354859,Q40231
Q17190980,Q625151
Q1441324,Q15991290
Q1113349,Q171043
Q1255897,Q3114989
Q23639111,Q23636253
Q12187,Q178859,Q12140
Q5514517,Q785745
Q83710,Q618779
Q10880310,Q55488
Q472538,Q1151405
Q1432594,Q282
Q4021162,Q13379369
Q184559,Q18965518
Q5265691,Q648995
Q1135449,Q1299240
Q4000690,Q3777546,Q4796437
Q3723573,Q173603
Q26699916,Q5663900
Q510177,Q37654
Q17014602,Q8513
Q936648,Q22950320
Q1268134,Q32880
Q26938349,Q29182
Q427118,Q18554205
Q799530,Q13357858
Q16024164,Q5633421,Q6806558
Q15855160,Q349
Q23657361,Q11060274
Q7300317,Q5196708
Q2506443,Q785745
Q2860261,Q42973,Q131062
Q24975508,Q1257011
Q18554452,Q298230
Q637345,Q37756
Q410903,Q18043462
Q1061820,Q1394771,Q25999041
Q1543712,Q2934
Q192032,Q1786347,Q205985
Q17619985,Q40068
Q219407,Q28813
Q2692218,Q123705
Q1370129,Q81103,Q18614676
Q392212,Q728
Q18557327,Q18556385
Q24359153,Q30185
Q181287,Q8242
Q18967937,Q12136
Q738680,Q11642,Q838948,Q220659
Q182064,Q201714
Q1326565,Q216916
Q7024923,Q11436
Q76560,Q12140
Q2828312,Q473972
Q5138407,Q14659
Q2376292,Q136822
Q18882307,Q1838,Q558892
Q7561,Q25257
Q4254784,Q11436
Q1841787,Q123705
Q690098,Q16241634
Q2622681,Q2095,Q26842995
Q5892266,Q1339146
Q21818626,Q22984545
Q760058,Q828748
Q15304555,Q20650761
Q3644168,Q429635
Q183984,Q93288
Q19000974,Q12136
Q975281,Q216916
Q103817,Q851990,Q2472587
Q138340,Q39018
Q7241308,Q83307
Q2109269,Q785745
Q11034,Q735,Q15473066
Q1660902,Q230262
Q19870875,Q40068
Q976406,Q12639
Q3812386,Q4796437
Q27016674,Q13357858
Q15635173,Q590490
Q23906226,Q23905927
Q2251535,Q628179
Q4290719,Q9050568
Q3464665,Q7725310,Q15416
Q2105775,Q210953,Q17154125
Q29347,Q8748
Q6679519,Q914752
Q3679256,Q4818021
Q382736,Q26377
Q18845299,Q941,Q1190172
Q2708417,Q13357858
Q2249536,Q216916
Q840019,Q750277
Q21110281,Q1292082
Q27798727,Q13357858
Q381936,Q1307792,Q1075310
Q1207187,Q216916
Q17489378,Q506736
Q486497,Q79529
Q3350026,Q5287
Q26691918,Q5663900
Q6799816,Q4403672
Q26202494,Q4796437
Q1501889,Q7802
Q4885023,Q6517694
Q3197774,Q12136
Q831354,Q8341
Q104614,Q14368646,Q179518
Q976105,Q8063
Q299264,Q13219666
Q17305340,Q2238071
Q12286601,Q34379
Q16976029,Q34379
Q184624,Q24489
Q1202129,Q13357858
Q27608279,Q13357858
Q13407957,Q13220431
Q5009763,Q131207
Q4803590,Q18602556
Q27799328,Q13357858
Q799644,Q13357858
Q3304204,Q7330070
Q625107,Q3733190
Q16146531,Q5043
Q24840945,Q986648
Q27608738,Q13357858
Q13381753,Q14616728
Q18558058,Q1035645
Q7877832,Q12639
Q2734582,Q486839
Q7449101,Q22808758
Q27164494,Q3281259
Q13631411,Q26263579
Q2469875,Q1043197
Q1394749,Q2940332
Q2537745,Q26836193
Q472967,Q17544377
Q18553835,Q2720759
Q1309797,Q37732
Q18330719,Q15916867
Q18344295,Q11436
Q856079,Q15729138,Q15284
Q6502879,Q1051772
Q673649,Q15062149
Q27342314,Q13357858
Q15824623,Q79529
Q23492,Q34770
Q1066914,Q1929372
Q191390,Q44424
Q15139478,Q1852043
Q2295476,Q174736
Q1035019,Q216916
Q27537711,Q13357858
Q20807927,Q632316,Q223642
Q2297256,Q3671179
Q1156870,Q1054760
Q295341,Q12796
Q3249581,Q6623809
Q25369733,Q1076105
Q5609817,Q1909343,Q5282137
Q20900762,Q178131,Q920057
Q18554624,Q2038371
Q2353049,Q179057
Q3130281,Q37555
Q26694060,Q5663900
Q2937714,Q3142,Q1075
Q5383567,Q7889
Q11051,Q20659021
Q3877379,Q1073138,Q407666
Q27798837,Q13357858
Q3896641,Q13402666
Q924408,Q1811308
Q13425811,Q13357858
Q21936818,Q6504956
Q27658397,Q27684991
Q172980,Q21590660
Q4454684,Q658429
Q2802547,Q204179,Q5433715,Q1396328,Q16937840
Q428412,Q844613,Q360931
Q1161568,Q8084905,Q644318
Q20787785,Q212238
Q26700673,Q5663900
Q1469749,Q432
Q18882978,Q751,Q1190207
Q26454317,Q286,Q5135573
Q19833313,Q4796437
Q1404417,Q5190720
Q12953072,Q19860
Q7565756,Q2306612
Q937840,Q194061
Q190444,Q11344
Q863823,Q5300
Q310899,Q427087
Q2493316,Q13357858
Q1450875,Q428661
Q22984494,Q18616576
Q12774673,Q40171
Q16864589,Q13357858
Q2041153,Q55488,Q1339195
Q336533,Q1632297
Q420914,Q16562143
Q2233222,Q11436
Q1144560,Q29175,Q203066
Q2864342,Q3042646,Q2571972,Q2519288
Q278937,Q1343128
Q3125101,Q41487
Q820144,Q8502
Q8115316,Q204179,Q5433715,Q7852566
Q245025,Q202444
Q15895635,Q13357858
Q1194970,Q4830453
Q2995175,Q8023663
Q134856,Q497173,Q421948
Q19826373,Q628523
Q18966251,Q12136
Q12321,Q182545,Q600590
Q18557269,Q18556228
Q27607367,Q13357858
Q1862413,Q5419952
Q16025362,Q129
Q3634199,Q13219666
Q20870906,Q6154820
Q1009335,Q39908
Q378914,Q23622
Q16028865,Q1225491
Q6202017,Q516721
Q1064367,Q34064
Q18555362,Q1429863
Q4410148,Q204179
Q208187,Q216916
Q18556328,Q18556002
Q21174294,Q21167512
Q25174735,Q2285706
Q480225,Q7631075
Q18553730,Q206901,Q18592
Q15791869,Q129270
Q403523,Q6156112
Q26696877,Q5663900
Q16800561,Q2637111
Q1650834,Q42918
Q22961568,Q193495
Q26693069,Q5663900
Q19841459,Q13379369
Q6619719,Q14514600
Q6949509,Q3579211
Q4970839,Q19842071
Q18880381,Q876,Q2044538
Q4854811,Q756
Q3099911,Q1183543
Q19930721,Q15686806
Q7100642,Q1479879
Q2685099,Q15061650
Q26691645,Q5663900
Q26691583,Q5663900
Q26691887,Q5663900
Q26692118,Q5663900
Q1402344,Q728937
Q22661486,Q3389302,Q739882
Q25267467,Q6581097,Q1035954
Q17171019,Q8072
Q22137108,Q47574
Q486058,Q3753318
Q1427678,Q17345
Q35967,Q33535
Q3773214,Q200726
Q6431807,Q47250,Q647500
Q10846976,Q273140
Q27798395,Q13357858
Q27608499,Q13357858
Q5644416,Q2095
Q3658291,Q18891467
Q7360348,Q7360182
Q1469766,Q19762589,Q15062149
Q18844481,Q660,Q468882
Q1588808,Q9053
Q493000,Q8171
Q1645817,Q1371279
Q837330,Q272683
Q5051776,Q6581097
Q11042324,Q6429214
Q953822,Q3917124,Q2311958
Q2560047,Q6501447
Q675824,Q162875
Q13033864,Q20646670
Q1256831,Q190249
Q27626550,Q13357858
Q5432934,Q5958740
Q3006733,Q41415
Q3524701,Q134768
Q105891,Q1327327
Q27799195,Q13357858
Q194100,Q46158
Q3339380,Q33942
Q19000765,Q12136
Q7302638,Q17422
Q2067490,Q3088299,Q2223649,Q3774485
Q27798373,Q13357858
Q18553351,Q1035645,Q18553364
Q12060722,Q24294815
Q27798858,Q13357858
Q15733044,Q1937160
Q3561331,Q14745
Q1196009,Q336
Q26700785,Q5663900
Q987664,Q721073
Q649823,Q9759,Q83440,Q43343
Q18888072,Q942,Q1372372
Q2496387,Q5742644
Q6085469,Q21936818
Q1771860,Q1133563
Q15905517,Q15849784
Q429837,Q18182635
Q2289050,Q13357858
Q3613658,Q2095
Q18968021,Q12136
Q617663,Q11693
Q2393314,Q742421
Q6506499,Q11436
Q2033580,Q3356530
Q5110505,Q5043
Q1672852,Q13357858
Q26698141,Q5663900
Q21554854,Q24566025
Q746654,Q737498
Q2914212,Q8441,Q16658574
Q27606946,Q13357858
Q15476362,Q15062149,Q3080207,Q15411568
Q7886333,Q300867
Q1091329,Q181247
Q7278986,Q11436
Q1058307,Q1714828
Q645315,Q13357858
Q26690547,Q5663900
Q26698025,Q5663900
Q17281152,Q2628227
Q3773065,Q3777834
Q18557738,Q18556612
Q27799334,Q13357858
Q203861,Q1283177
Q7843925,Q160003
Q6030316,Q8054
Q15149966,Q3610946
Q26691846,Q5663900
Q474100,Q336,Q3918374
Q23906225,Q23905927
Q390570,Q173453,Q185626
Q15062149,Q11436
Q5860,Q161
Q1531844,Q834028
Q17775927,Q1146195
Q17149163,Q11436
Q19833521,Q3777847
Q27798734,Q13357858
Q22915494,Q13357858
Q10714707,Q83307
Q6664772,Q200726
Q26232783,Q83307
Q15629241,Q15629192
Q146,Q622852
